Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200642G037206,1,1,3,2,26,7,3,0,0,0,4,-1,3,1
20064100T3003,4,1,3,1,39,6,3,0,1,0,0,-1,0,1
200832D264308,1,1,1,1,34,-1,3,0,0,0,0,-1,0,1
200904DA09094,2,1,1,1,29,6,3,0,9,0,0,-1,0,-1
200720K070101,1,1,1,2,25,6,3,5,0,0,0,-1,11,-1
200901TB00138,1,1,3,2,26,8,3,0,0,0,0,-1,9,1
2010400B00042,1,5,2,1,65,8,3,0,0,0,0,-1,3,1
201020M007770,1,1,3,1,38,6,3,0,0,0,0,-1,5,1
200843R139078,1,1,3,1,33,7,3,0,0,0,0,-1,0,-1
200922G905148,1,1,1,1,26,7,3,0,1,0,0,-1,9,-1
200834TK80268,2,1,3,1,19,6,3,0,0,1,0,-1,5,1
2008160B02100,2,1,1,2,21,5,3,0,0,0,0,-1,3,1
200937L017430,1,1,1,1,29,9,3,0,0,0,0,-1,1,1
20074100J2257,1,1,2,1,23,6,3,0,0,0,0,-1,0,-1
200942I034802,1,3,1,2,50,6,3,5,1,0,0,-1,9,1
200914A031409,2,2,3,1,29,6,3,0,0,0,0,-1,0,-1
200704AM07142,1,1,1,1,62,7,3,0,0,0,0,-1,1,1
201014B050710,1,1,3,1,59,8,3,0,0,0,0,-1,0,1
201001TB00814,1,1,1,1,56,10,3,6,0,0,0,-1,9,-1
201001TB00814,1,1,1,2,19,8,3,0,3,0,0,-1,9,1
201014B050710,1,1,1,1,19,5,3,0,0,0,0,-1,11,1
200505CH00177,1,1,3,2,29,6,3,0,0,0,1,-1,0,1
200920E025403,1,1,1,1,26,7,2,0,0,0,0,-1,1,1
2010160D06121,1,1,1,1,41,5,2,5,1,0,4,-1,0,-1
200805DD29753,1,2,1,1,19,2,3,0,1,0,3,-1,9,1
200991NM03381,1,1,1,1,-1,6,3,0,0,0,0,-1,3,1
200801CW73237,1,1,1,2,23,9,3,4,0,0,0,-1,9,1
200901TB00197,3,1,1,1,40,6,3,0,0,1,0,-1,9,1
201001TB00232,2,1,1,1,26,6,3,1,0,0,0,-1,0,1
201001TB00232,2,1,1,2,48,8,3,5,9,0,0,-1,3,1
2010550C21521,2,1,2,1,42,6,3,0,9,1,0,-1,11,1
200954ES33309,1,1,1,1,28,5,3,0,1,1,0,-1,1,1
2010160C04601,1,1,3,2,86,7,3,4,0,0,0,-1,9,1
200563AC43305,2,1,1,2,-1,9,2,0,3,0,4,-1,3,1
2010160C04601,1,1,2,1,61,6,2,0,0,0,0,-1,0,1
200945SU45706,1,1,1,1,28,-1,3,0,0,0,0,-1,4,1
20064100K0153,1,2,3,2,42,6,3,0,0,0,0,-1,5,1
201030B000341,1,1,3,1,38,7,3,0,0,0,0,-1,3,1
201020J007500,1,1,1,1,86,6,3,5,0,0,0,-1,9,1
200801QK69070,2,1,1,1,74,9,3,0,4,0,0,-1,0,3
200663CP27706,1,1,1,1,38,6,3,0,1,2,0,-1,3,-1
200997NC70103,2,1,3,2,34,-1,2,0,0,0,1,-1,3,1
200901TC00341,1,1,1,1,23,5,3,0,0,0,0,-1,3,1
200897GA70305,1,1,3,2,26,8,3,0,9,0,0,-1,0,1
200705FF14488,2,1,3,1,33,10,3,4,0,0,0,-1,0,-1
201045RU48208,3,2,3,1,38,6,3,0,9,0,0,-1,0,1
2008170L11198,2,1,1,1,29,7,3,5,0,0,0,-1,9,1
200804CK08186,1,1,1,1,49,7,3,0,1,0,0,-1,9,-1
200943P180059,2,1,1,2,28,6,3,0,2,0,0,-1,11,1
201004AM10177,2,2,1,1,30,8,3,10,0,0,0,-1,5,1
201004AM10177,2,1,2,2,31,6,3,0,1,0,0,-1,0,1
201063BC07710,2,1,1,2,35,6,3,6,0,0,0,-1,9,1
201060L106674,1,1,1,1,19,7,3,0,0,0,0,-1,3,1
200997NC70103,1,1,1,2,47,5,3,0,0,0,0,-1,11,1
200630B000047,2,1,1,2,56,6,3,0,0,0,0,-1,9,-1
200697QA70103,1,2,1,1,58,7,3,0,0,1,0,-1,9,1
200801XD74911,1,2,1,2,58,2,3,0,0,0,0,-1,0,1
200943N007059,1,1,1,2,29,9,3,4,0,0,0,-1,9,1
200643N189106,3,1,2,1,20,9,3,0,0,0,0,-1,11,1
200922E905729,1,1,1,1,31,8,3,1,0,1,0,-1,1,-1
200832B260008,1,1,1,1,75,-1,3,0,0,0,0,-1,5,1
20103104B2311,1,4,3,1,47,9,3,0,1,0,0,-1,1,1
20063108B0958,1,1,3,1,54,9,3,0,0,0,0,-1,0,1
200904CK09182,2,1,3,2,54,8,3,5,0,0,0,-1,3,1
200904AL09145,1,1,1,1,26,-1,3,0,0,0,3,-1,9,1
2007160C02390,1,1,1,2,-1,7,3,4,0,0,4,-1,9,-1
2008160A03580,1,1,1,1,23,4,3,0,0,0,0,-1,3,1
200922F905597,1,4,1,1,36,4,3,0,0,0,0,-1,3,-1
200850A51B949,2,1,2,2,19,-1,2,0,0,0,0,-1,0,1
201032D349510,1,1,1,1,14,5,3,4,0,0,0,-1,9,1
2007557W02296,1,1,3,2,30,6,3,0,0,0,4,-1,0,1
201030C000142,1,1,2,1,23,6,3,0,1,0,0,-1,9,1
200943N150099,1,1,1,1,14,4,3,0,0,1,0,-1,9,-1
201042I253908,1,1,1,1,13,7,3,0,0,0,0,-1,5,1
2009160C06350,1,1,1,2,20,7,3,0,0,0,0,-1,11,-1
200643P002126,2,1,1,1,36,5,3,5,0,0,0,-1,9,-1
200550F52C893,1,1,1,1,56,7,3,0,0,0,0,-1,0,-1
200797NC70108,1,1,2,1,26,9,3,0,0,0,0,-1,5,-1
200643P081066,1,1,2,1,61,8,3,4,0,0,0,-1,9,1
200920Z002201,2,1,2,1,20,6,3,0,0,0,0,-1,0,1
200706A085222,1,1,1,2,65,3,3,0,0,0,0,-1,3,1
201006Q031681,1,1,1,2,39,4,3,0,0,0,0,-1,1,1
200820G041302,1,2,3,1,37,9,3,0,0,0,0,-1,0,1
201006Q031681,1,1,1,1,24,7,3,5,0,0,0,-1,1,-1
200820D060703,1,1,1,1,45,6,3,0,0,0,0,-1,3,1
200720D307503,1,1,1,2,54,5,3,0,0,0,0,-1,3,1
200906F009027,1,2,1,2,13,6,3,0,0,0,0,-1,0,-1
200660GS30090,1,2,1,1,26,10,3,0,2,0,0,-1,5,-1
200797KA70404,1,1,1,1,39,7,2,0,0,0,0,-1,0,-1
200820G021802,1,2,3,1,68,6,3,0,9,0,0,-1,9,1
200642I344909,1,1,1,2,39,7,3,0,0,0,0,-1,9,1
200620K023802,1,1,1,1,25,9,3,0,1,0,0,-1,0,1
2009160B00680,2,1,2,1,23,6,3,0,0,0,0,-1,3,1
200614C124006,1,1,3,1,39,5,3,0,0,0,0,-1,9,1
200534TD08017,2,1,1,2,22,7,3,0,0,0,0,-1,11,1
200920L071701,1,1,2,2,29,7,3,5,3,0,0,-1,9,-1
200706M073400,1,2,3,2,28,7,3,0,0,1,0,-1,9,-1
200850A33A383,1,2,2,2,22,6,3,1,0,1,0,-1,1,-1
201043W125060,1,1,1,1,65,8,3,0,0,0,0,-1,3,1
200701RG68438,1,1,3,2,23,7,3,4,0,1,0,-1,3,1
200901JC77105,1,1,1,1,59,6,3,5,3,0,0,-1,0,-1
200701RY65913,1,1,2,1,68,6,3,0,0,0,0,-1,0,1
200606A056598,3,1,1,1,39,7,3,0,3,0,0,-1,11,1
200506Q920438,1,1,1,1,23,7,3,5,0,0,0,-1,5,1
200720H023802,1,1,1,2,13,8,3,0,0,0,0,-1,5,1
201001TD00085,1,1,1,1,25,6,3,5,0,0,4,-1,0,1
20093104D3156,1,1,1,1,24,4,3,4,0,0,0,-1,1,-1
201001TD00085,1,1,1,1,38,9,3,0,0,0,0,-1,1,-1
200754ET06407,1,1,1,2,19,8,3,1,0,2,0,-1,3,1
201020K015290,1,1,3,1,-1,-1,3,0,0,0,4,-1,5,1
200963DP21909,1,1,2,1,54,8,3,0,0,0,0,-1,9,1
201037B045310,1,1,1,2,30,7,3,0,0,0,0,-1,1,1
200542D029709,1,1,2,2,26,7,2,0,1,0,0,-1,1,1
201020G011512,1,1,2,2,24,4,3,0,0,0,0,-1,0,1
200601TD00085,1,1,1,2,-1,7,3,0,0,1,0,-1,11,1
200504CK05088,1,1,1,2,40,6,3,0,0,0,0,-1,3,-1
200601TB00019,1,2,2,1,49,8,3,0,0,0,0,-1,5,1
200705FF14997,1,1,3,1,75,10,3,0,0,0,0,-1,3,3
200943N003049,1,1,2,1,52,6,3,4,0,0,0,-1,0,-1
200943N003049,2,1,1,1,26,7,3,0,9,0,0,-1,2,3
200922G906283,2,1,1,1,26,4,3,0,1,0,0,-1,3,-1
200932C165609,2,1,2,1,25,6,3,0,1,0,0,-1,3,1
200620F216203,1,1,3,2,41,7,3,0,0,0,0,-1,9,1
200645RE83444,3,1,2,1,61,7,3,7,0,0,0,-1,9,1
201001TB00531,1,1,2,1,19,6,3,0,0,0,4,-1,1,1
201001TB00531,1,1,1,1,38,5,3,1,0,0,0,-1,1,1
201063CP02710,1,1,1,2,38,7,3,1,0,0,0,-1,5,1
200930B000144,1,1,2,1,39,8,3,4,0,0,0,-1,3,-1
201030C000100,1,1,3,1,25,6,3,0,3,0,0,-1,0,1
201043P262090,2,4,3,2,24,6,3,0,1,0,0,-1,0,1
200943P006049,1,1,1,2,40,6,2,0,0,0,0,-1,5,1
200930A000391,1,1,3,1,35,9,3,1,0,0,0,-1,11,1
201043P180010,2,1,1,2,58,-1,3,0,0,0,0,-1,9,1
201054EW26610,1,1,1,2,36,7,3,0,0,0,0,-1,0,1
200901TE00155,1,2,1,2,54,8,3,0,0,0,0,-1,9,1
200930B000161,1,1,1,2,13,7,3,0,2,0,0,-1,5,1
200543P223085,2,1,1,2,29,6,3,0,1,0,0,-1,0,1
200904EB09073,1,1,3,2,39,5,3,0,0,0,4,-1,0,1
200511BD24590,2,1,1,1,62,5,3,0,3,0,0,-1,0,1
2009160A04900,1,1,1,1,39,5,3,0,0,0,0,-1,9,1
200650A41H818,1,1,3,1,39,7,3,0,1,0,0,-1,3,1
200991NN32749,1,1,1,2,86,7,2,1,0,0,0,-1,0,1
200563AC58005,2,1,1,1,29,4,3,0,0,0,0,-1,3,1
200550A41C842,1,1,1,1,47,4,3,0,0,0,0,-1,9,1
200832D264108,3,1,1,2,22,5,3,0,3,0,0,-1,3,1
200637L013067,2,1,3,1,68,8,3,0,0,0,0,-1,9,1
200550C24B353,2,1,2,2,-1,5,3,0,0,0,0,-1,1,-1
200650B71D318,2,1,3,1,33,5,3,0,0,0,0,-1,1,1
200637L012498,2,2,3,2,28,9,3,0,9,0,0,-1,11,-1
200854EZ20708,3,1,1,1,21,9,3,0,0,0,0,-1,5,1
200614A001206,1,1,2,2,14,10,2,0,3,0,0,-1,1,1
200991NP09680,1,1,3,2,75,-1,3,0,0,0,0,-1,11,1
200922E902791,1,1,1,1,29,6,3,0,0,0,0,-1,3,1
201030C000082,1,1,3,1,74,3,3,0,0,0,0,-1,8,1
200937G028175,2,1,1,1,59,6,3,0,3,0,0,-1,9,-1
200622FA48857,1,1,1,2,37,6,3,1,0,0,0,-1,11,-1
200722EA85991,3,2,1,1,40,6,3,0,3,0,0,-1,5,1
200937G027459,1,1,1,1,19,-1,3,0,0,0,0,-1,9,-1
200763BC25507,1,1,3,1,28,8,2,0,3,0,0,-1,0,-1
200611DJ16270,1,1,2,2,6,5,3,4,0,0,0,-1,5,1
2006600DE5031,1,2,3,2,22,-1,3,0,1,0,0,-1,0,1
200743R196057,1,1,3,2,39,9,2,5,0,0,1,-1,1,1
201060L229614,1,1,1,1,54,9,3,0,3,0,0,-1,1,-1
200750C21I016,1,1,1,1,65,7,3,0,0,0,0,-1,0,1
200943S132099,1,2,1,2,28,3,3,0,0,0,0,-1,3,1
200937G027680,2,1,3,1,23,6,3,0,0,0,0,-1,0,-1
20054100T1166,1,1,1,1,38,6,3,5,0,0,0,-1,3,1
200511AK06200,1,1,1,1,62,5,3,6,0,0,0,-1,5,1
200997NA70207,1,1,1,1,41,6,3,0,1,1,1,-1,0,-1
200614G012006,5,1,1,1,29,3,3,5,0,0,0,-1,0,1
200543P311055,2,3,3,1,33,6,3,1,0,0,0,-1,9,1
201050JN2K010,1,1,1,1,24,6,2,0,0,0,0,-1,0,-1
201045WA51505,2,1,2,2,86,8,3,0,0,0,0,-1,1,1
200540D024440,1,4,1,1,39,7,3,0,0,0,0,-1,9,1
200643P081066,2,2,1,2,45,6,3,1,0,0,0,-1,9,1
200732D074007,3,2,1,2,38,7,3,0,1,1,0,-1,0,1
2005160B03140,1,1,1,1,23,3,3,0,0,2,0,-1,0,1
200543S012035,2,1,1,2,56,9,3,0,9,0,0,-1,11,-1
200843S008058,1,1,1,2,-1,7,3,0,0,0,0,-1,0,-1
200597QC70103,1,2,2,1,39,10,3,0,0,1,4,-1,11,1
200943P194029,2,1,1,2,35,6,3,0,0,0,0,-1,9,1
